시군구,번지,단지명,주소,위도,경도,수집여부
경기도 용인시 처인구 이동읍 천리,584-52,장미맨션,경기도 용인시 처인구 이동읍 천리 584-52 장미맨션,37.2034178706884,127.208127501047,Y
경기도 군포시 금정동,706-19,장미,경기도 군포시 금정동 706-19 장미,37.3644632524009,126.939882392184,Y
경기도 시흥시 대야동,306-11,소래산,경기도 시흥시 대야동 306-11 소래산,,,N
경기도 남양주시 진건읍 사능리,350,동명다동,경기도 남양주시 진건읍 사능리 350 동명다동,37.6564209494137,127.182905400934,Y
경기도 여주시 홍문동,377-6,상우2차,경기도 여주시 홍문동 377-6 상우2차,37.2837565944238,127.640034657207,Y
경기도 부천시 소사구 송내동,299-16,대양,경기도 부천시 소사구 송내동 299-16 대양,37.4868309034399,126.755695323396,Y
경기도 군포시 당동,766-17,우양(766-17),경기도 군포시 당동 766-17 우양(766-17),37.3531410935849,126.942920937146,Y
경기도 부천시 소사구 심곡본동,783-2,로얄,경기도 부천시 소사구 심곡본동 783-2 로얄,37.4822933092501,126.787410955311,Y
경기도 안양시 만안구 안양동,397-22,유정,경기도 안양시 만안구 안양동 397-22 유정,37.3924514574298,126.928312386506,Y
경기도 구리시 수택동,621-4,무지개,경기도 구리시 수택동 621-4 무지개,37.593353527352,127.143286893198,Y
경기도 평택시 안중읍 현화리,918,해동마을삼익참드림,경기도 평택시 안중읍 현화리 918 해동마을삼익참드림,36.9823153733734,126.926433318835,Y
경기도 부천시 소사구 괴안동,104-3,대현부안,경기도 부천시 소사구 괴안동 104-3 대현부안,37.4800136151569,126.813065145285,Y
경기도 안양시 동안구 관양동,1507-5,삼우마을,경기도 안양시 동안구 관양동 1507-5 삼우마을,37.3982156684838,126.977846601619,Y
