분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,시군구,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,평택시,1527.4653403232458,1478.2264872707583,8956,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,오산시,1552.8240872935226,1458.7297917785756,3796,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,미추홀구,1512.0985905242912,1429.0271132376397,3461,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,양주시,1330.6004821064246,1362.131098505199,4440,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,계양구,1444.5604954988078,1348.1038626106326,2405,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,이천시,1274.508680210458,1342.4263196182046,1807,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,화성시 효행구,1376.5284723679433,1255.7046383923916,2182,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,동구,1254.2672992481057,1235.7300137257262,489,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,안성시,1050.6576735591268,1040.6089655978021,2078,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,여주시,1113.8551213798396,993.7229831563955,1048,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,가평군,944.6872301229532,952.0193908244021,439,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,포천시,931.1597856537429,910.4101865246523,810,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,강화군,904.4359881642902,856.72367448784,173,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,동두천시,833.9015179742563,828.5448723468111,733,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,연천군,811.5818063897791,818.9516327165718,175,10,10,1,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
