시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
대구광역시,남구,257.0,444.0,93.4,100.0,0.0,0.0,6.6,94.6,100.0,0.0,0.0,5.4,9.900000000000006,12.200000000000003,-12.2,0.0,2.3
서울특별시,광진구,256.0,856.0,78.9,80.5,0.0,19.5,1.6,93.1,94.0,0.1,5.8,0.9,-18.299999999999997,-18.700000000000003,-0.8,19.5,-0.3999999999999999
경상북도,영천시,237.0,442.0,89.5,98.3,0.4,1.3,8.9,90.5,98.4,0.7,0.9,7.9,-3.700000000000003,-0.7999999999999972,0.4,0.4,3.0
경기도,동두천시,235.0,413.0,98.3,99.1,0.9,0.0,0.9,97.8,99.5,0.5,0.0,1.7,1.0,-0.20000000000000284,0.20000000000000007,0.0,-1.1
부산광역시,서구,222.0,418.0,90.5,96.4,1.4,2.3,5.9,90.0,97.6,1.2,1.2,7.7,-5.0,-3.5999999999999943,1.4,2.3,1.4000000000000004
서울특별시,금천구,219.0,471.0,99.5,100.0,0.0,0.0,0.5,99.2,100.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,-1.0
충청남도,계룡시,215.0,359.0,99.1,100.0,0.0,0.0,0.9,98.6,99.7,0.3,0.0,1.1,0.19999999999998863,0.5999999999999943,0.0,-0.6,0.30000000000000004
부산광역시,영도구,209.0,466.0,93.3,98.6,1.0,0.5,5.3,77.9,97.6,0.9,1.5,19.7,-3.1000000000000085,-0.7000000000000028,1.0,-0.19999999999999996,2.4
서울특별시,중구,203.0,551.0,99.0,99.0,1.0,0.0,0.0,98.9,99.6,0.4,0.0,0.7,3.700000000000003,1.5999999999999943,-0.6000000000000001,-1.1,-2.1
경기도,여주시,198.0,393.0,94.9,99.5,0.5,0.0,4.5,94.9,99.0,1.0,0.0,4.1,0.9000000000000057,-0.5,0.5,0.0,-1.5
경상남도,밀양시,196.0,373.0,90.8,95.9,2.6,1.5,5.1,91.7,97.1,2.1,0.8,5.4,2.3999999999999915,-0.19999999999998863,-0.6999999999999997,0.9,-2.6000000000000005
경기도,포천시,193.0,362.0,97.4,97.9,1.0,1.0,0.5,95.6,97.0,1.7,1.4,1.4,33.400000000000006,32.2,-0.30000000000000004,-32.1,-1.2
제주특별자치도,서귀포시,183.0,489.0,77.0,99.5,0.5,0.0,22.4,60.7,81.4,18.6,0.0,20.7,-11.299999999999997,0.20000000000000284,0.5,-0.7,11.499999999999998
