시도,시군구,total_recent_3m,total_recent_6m,시군구내비중_최근3m,시도내비중_최근3m,서울외지비중_최근3m,기타외지비중_최근3m,시군구내비중_최근6m,시도내비중_최근6m,서울외지비중_최근6m,기타외지비중_최근6m,시군구내비중_변화_3mYoY,시도내비중_변화_3mYoY,서울외지비중_변화_3mYoY,기타외지비중_변화_3mYoY
경기도,고양시 일산동구,619.0,1140.0,50.4,29.1,0.0,20.5,50.4,28.5,0.0,21.1,1.1999999999999957,-2.0,0.0,0.8999999999999986
경기도,안성시,603.0,1070.0,58.7,21.7,0.0,19.6,57.8,21.8,0.0,20.5,-0.19999999999999574,-1.9000000000000021,0.0,2.0
강원도,강릉시,600.0,1097.0,77.5,8.0,0.0,14.5,76.2,8.1,0.0,15.7,0.9000000000000057,-0.09999999999999964,0.0,-0.9000000000000004
부산광역시,강서구,600.0,1076.0,57.0,25.5,0.0,17.5,58.0,24.7,0.0,17.3,-6.799999999999997,4.199999999999999,0.0,2.5999999999999996
대전광역시,중구,597.0,1070.0,49.2,34.0,0.0,16.8,50.6,33.0,0.0,16.4,-1.5,2.3000000000000007,0.0,-0.8000000000000007
경상남도,창원시 마산합포구,595.0,1056.0,62.0,30.1,0.0,7.9,63.2,28.1,0.0,8.7,-3.5999999999999943,3.1000000000000014,0.0,0.5
충청남도,서산시,583.0,1116.0,76.8,6.7,0.0,16.5,76.0,8.0,0.0,16.0,-0.10000000000000853,-0.5999999999999996,0.0,0.6999999999999993
대전광역시,동구,574.0,1023.0,50.2,27.4,0.0,22.5,52.6,25.9,0.0,21.5,1.2000000000000028,2.799999999999997,0.0,-3.8999999999999986
충청북도,제천시,568.0,993.0,78.2,7.9,0.0,13.9,78.3,7.3,0.0,14.4,6.1000000000000085,2.4000000000000004,0.0,-8.499999999999998
경상북도,경주시,563.0,1352.0,78.3,8.2,0.0,13.5,67.5,7.2,0.0,25.3,2.200000000000003,-1.200000000000001,0.0,-1.0
경상남도,창원시 진해구,557.0,979.0,77.0,10.8,0.0,12.2,77.5,10.6,0.0,11.8,3.200000000000003,-4.799999999999999,0.0,1.5999999999999996
경상남도,창원시 의창구,544.0,1022.0,57.7,35.7,0.0,6.6,58.5,34.6,0.0,6.8,-4.5,5.0000000000000036,0.0,-0.5
