시도,시군구,total_recent_3m,total_recent_6m,소형비중_최근3m,국민평형비중_최근3m,중대형비중_최근3m,대형비중_최근3m,소형비중_최근6m,국민평형비중_최근6m,중대형비중_최근6m,대형비중_최근6m,소형비중_변화_3mYoY,국민평형비중_변화_3mYoY,중대형비중_변화_3mYoY,대형비중_변화_3mYoY
경상남도,창원시 진해구,557.0,979.0,43.8,49.7,5.2,1.3,41.8,51.7,5.1,1.4,7.799999999999997,-7.099999999999994,-0.5,-0.30000000000000004
경상남도,창원시 의창구,544.0,1022.0,29.6,58.6,8.5,3.3,28.1,60.0,9.1,2.8,-1.5999999999999979,-1.0,1.7000000000000002,0.8999999999999999
경상남도,창원시 마산회원구 ,541.0,973.0,32.5,56.2,10.0,1.3,35.4,52.9,10.7,1.0,-5.299999999999997,6.700000000000003,-1.5999999999999996,0.19999999999999996
울산광역시,동구,534.0,1017.0,41.4,51.3,6.7,0.6,42.0,51.2,6.5,0.3,-4.600000000000001,5.299999999999997,-0.2999999999999998,-0.4
부산광역시,기장군,508.0,904.0,32.7,50.2,14.6,2.6,33.0,49.8,15.5,1.8,-5.399999999999999,1.5,3.0999999999999996,0.9000000000000001
경상남도,사천시,505.0,768.0,58.4,34.3,6.9,0.4,54.2,39.1,5.6,1.2,11.799999999999997,-14.700000000000003,3.8000000000000003,-0.9999999999999999
전라남도,여수시,488.0,934.0,33.6,59.4,6.4,0.6,35.3,57.7,6.0,1.0,-2.1999999999999957,2.799999999999997,-0.1999999999999993,-0.5000000000000001
경기도,안산시 상록구,484.0,832.0,36.8,44.0,15.1,4.1,39.1,43.5,13.6,3.8,-3.5,1.7000000000000028,2.4000000000000004,-0.6000000000000005
부산광역시,사상구,483.0,914.0,47.6,48.0,3.5,0.8,47.6,47.6,3.8,1.0,4.399999999999999,-2.3999999999999986,-1.7000000000000002,-0.3999999999999999
서울특별시,관악구,460.0,1184.0,42.0,41.7,15.7,0.7,45.2,41.7,12.7,0.4,-6.799999999999997,-0.5,6.699999999999999,0.7
서울특별시,중랑구,457.0,1322.0,44.4,46.0,9.6,0.0,56.4,35.2,8.3,0.1,-2.3000000000000043,2.8999999999999986,-0.5999999999999996,0.0
경상북도,포항시 남구,453.0,953.0,36.9,57.2,5.1,0.9,41.7,52.0,5.4,0.9,-6.600000000000001,7.700000000000003,0.1999999999999993,-1.2000000000000002
대전광역시,대덕구,447.0,801.0,40.5,51.5,6.5,1.6,39.8,52.2,6.7,1.2,-5.200000000000003,5.200000000000003,0.5,-0.5
경기도,수원시 팔달구,446.0,994.0,51.3,42.2,6.1,0.4,50.5,44.2,4.8,0.5,-1.3000000000000043,1.0,0.5999999999999996,-0.29999999999999993
