시도,시군구,total_recent_3m,total_recent_6m,20대이하비중_최근3m,30대비중_최근3m,40_50대비중_최근3m,60대이상비중_최근3m,30_50대비중_최근3m,20대이하비중_최근6m,30대비중_최근6m,40_50대비중_최근6m,60대이상비중_최근6m,30_50대비중_최근6m,20대이하비중_변화_3mYoY,30대비중_변화_3mYoY,40_50대비중_변화_3mYoY,60대이상비중_변화_3mYoY,30_50대비중_변화_3mYoY
경기도,포천시,193.0,362.0,1.6,13.5,47.7,35.2,61.1,2.2,14.4,46.4,34.0,60.8,-1.2999999999999998,4.699999999999999,13.800000000000004,15.100000000000001,18.4
제주특별자치도,서귀포시,183.0,489.0,1.6,26.8,44.8,26.2,71.6,1.6,20.2,37.8,21.7,58.1,-2.8000000000000003,0.5,-9.900000000000006,12.299999999999999,-9.400000000000006
충청남도,보령시,178.0,367.0,4.5,20.8,46.1,26.4,66.9,3.5,22.1,47.7,24.5,69.8,-2.2,-1.8999999999999986,0.7000000000000028,4.299999999999997,-1.1999999999999886
부산광역시,동구,177.0,390.0,5.1,31.6,44.6,18.6,76.3,4.6,34.4,41.8,18.7,76.2,-0.10000000000000053,-0.29999999999999716,0.20000000000000284,1.6000000000000014,0.0
강원도,삼척시,175.0,339.0,4.0,18.9,53.1,23.4,72.0,5.6,18.6,50.7,24.8,69.3,0.2999999999999998,5.299999999999999,-3.0,-2.3000000000000007,2.4000000000000057
충청남도,예산군,173.0,316.0,3.5,13.9,48.0,31.2,61.8,3.8,12.7,45.6,34.5,58.2,0.2999999999999998,5.200000000000001,9.100000000000001,-14.8,14.199999999999996
인천광역시,동구,172.0,318.0,2.3,18.0,39.5,40.1,57.6,2.8,17.0,41.8,38.4,58.8,-1.2000000000000002,-3.1999999999999993,5.0,1.2000000000000028,1.8000000000000043
경기도,양평군,164.0,300.0,2.4,18.3,38.4,38.4,56.7,2.0,18.0,37.3,41.0,55.3,-1.4,5.5,6.299999999999997,-7.800000000000004,11.800000000000004
경기도,부천시 오정구,163.0,364.0,3.1,18.4,39.3,27.0,57.7,2.7,19.8,34.9,26.6,54.7,-6.5,1.6999999999999993,-5.400000000000006,1.6000000000000014,-3.6999999999999957
경상북도,예천군,147.0,272.0,7.5,28.6,39.5,23.8,68.0,7.0,32.7,37.5,22.4,70.2,4.4,1.8000000000000007,-2.799999999999997,-4.0,-1.0999999999999943
경상남도,거창군,134.0,214.0,5.2,20.9,50.0,23.1,70.9,3.7,23.8,48.1,23.8,72.0,1.9000000000000004,-2.1000000000000014,-1.6000000000000014,1.8000000000000007,-3.6999999999999886
서울특별시,종로구,132.0,335.0,3.0,29.5,48.5,18.2,78.0,3.6,31.6,45.7,18.5,77.3,-1.0999999999999996,12.2,-2.5,-9.400000000000002,9.599999999999994
전라남도,영암군,130.0,238.0,1.5,11.5,46.9,37.7,58.5,1.3,13.9,47.9,34.5,61.8,-2.9000000000000004,-1.6999999999999993,-0.3999999999999986,9.100000000000001,-1.8999999999999986
경상남도,함안군,124.0,204.0,1.6,8.9,59.7,25.8,68.5,2.9,9.3,55.4,27.0,64.7,-1.2999999999999998,-5.699999999999999,4.400000000000006,4.400000000000002,-1.4000000000000057
전라북도,김제시,113.0,198.0,3.5,14.2,50.4,28.3,64.6,3.5,15.2,50.0,28.3,65.2,1.7,0.5999999999999996,4.899999999999999,-8.099999999999998,5.499999999999993
경상북도,상주시,112.0,221.0,6.3,17.0,47.3,25.9,64.3,5.4,16.3,50.2,25.8,66.5,-1.7999999999999998,-9.100000000000001,2.299999999999997,5.199999999999999,-6.900000000000006
강원도,태백시,110.0,206.0,3.6,5.5,55.5,33.6,60.9,3.4,8.7,56.3,30.1,65.0,2.6,-5.800000000000001,-3.299999999999997,5.800000000000001,-9.199999999999996
강원도,홍천군,110.0,209.0,3.6,20.9,36.4,39.1,57.3,3.3,17.2,40.2,38.8,57.4,3.6,8.099999999999998,-9.800000000000004,1.8999999999999986,-1.7000000000000028
전라남도,화순군,106.0,192.0,3.8,12.3,40.6,40.6,52.8,2.6,10.9,39.6,44.3,50.5,2.5999999999999996,-1.299999999999999,-7.5,3.6000000000000014,-8.900000000000006
충청북도,증평군,106.0,207.0,2.8,15.1,43.4,34.9,58.5,2.4,17.4,46.4,29.0,63.8,0.8999999999999999,-0.09999999999999964,-10.899999999999999,13.899999999999999,-11.0
전라북도,남원시,104.0,212.0,4.8,19.2,44.2,29.8,63.5,5.2,19.8,43.4,30.2,63.2,2.9,5.699999999999999,-9.399999999999999,0.6999999999999993,-3.5999999999999943
강원도,평창군,99.0,219.0,2.0,5.1,48.5,39.4,53.5,3.7,5.9,47.0,38.4,53.0,0.5,-3.700000000000001,10.299999999999997,-7.700000000000003,6.399999999999999
경기도,가평군,95.0,170.0,2.1,8.4,34.7,54.7,43.2,2.4,14.1,38.8,44.7,52.9,-3.6999999999999997,-1.1999999999999993,-9.5,18.200000000000003,-10.599999999999994
전라남도,고흥군,91.0,143.0,4.4,16.5,47.3,25.3,63.7,4.2,13.3,51.0,27.3,64.3,1.2000000000000002,3.5999999999999996,5.399999999999999,-13.400000000000002,8.900000000000006
전라남도,영광군,86.0,161.0,3.5,17.4,32.6,41.9,50.0,5.6,14.3,32.3,34.8,46.6,-2.2,2.299999999999999,-14.600000000000001,11.7,-12.299999999999997
충청남도,태안군,74.0,144.0,2.7,9.5,36.5,44.6,45.9,3.5,13.2,31.9,47.2,45.1,2.7,-0.1999999999999993,-18.299999999999997,15.600000000000001,-18.6
경상남도,창녕군,73.0,127.0,1.4,9.6,39.7,41.1,49.3,0.8,10.2,42.5,40.9,52.8,-0.40000000000000013,-2.700000000000001,-9.399999999999999,9.5,-12.100000000000001
경상북도,문경시,73.0,151.0,2.7,16.4,47.9,30.1,64.4,3.3,15.9,46.4,31.1,62.3,-5.3999999999999995,-7.900000000000002,2.0,9.8,-5.8999999999999915
강원도,양양군,64.0,110.0,3.1,15.6,46.9,34.4,62.5,1.8,17.3,44.5,35.5,61.8,1.4000000000000001,2.0,-7.300000000000004,7.299999999999997,-5.299999999999997
강원도,횡성군,63.0,124.0,4.8,14.3,42.9,31.7,57.1,4.8,12.1,43.5,33.1,55.6,0.39999999999999947,6.9,3.1999999999999957,-16.8,10.0
강원도,정선군,61.0,112.0,3.3,13.1,52.5,29.5,65.6,4.5,12.5,52.7,29.5,65.2,1.4999999999999998,4.299999999999999,17.4,-21.4,21.699999999999996
충청남도,금산군,59.0,116.0,1.7,11.9,40.7,42.4,52.5,5.2,11.2,40.5,41.4,51.7,1.7,-3.9000000000000004,2.1000000000000014,7.299999999999997,-1.8999999999999986
충청남도,서천군,56.0,99.0,3.6,12.5,33.9,50.0,46.4,4.0,13.1,35.4,44.4,48.5,-2.6999999999999997,6.2,-3.6000000000000014,0.0,2.6000000000000014
전라남도,해남군,55.0,104.0,7.3,20.0,47.3,23.6,67.3,4.8,19.2,50.0,25.0,69.2,2.7,-7.699999999999999,-1.9000000000000057,9.8,-9.600000000000009
